"","SRR33482787","SRR33482788","SRR33482795","SRR33482806","SRR33482817","SRR33482818"
"AT1G42470",194.843930628496,296.347868039755,245.520850445547,178.902012540979,183.336984108888,223.69441819012
"AT1G56150",10.4042875578323,17.3683732184472,21.0173490653776,5.96340041803263,11.7023606878013,22.1679153161381
"AT1G75520",16.0793534984681,15.1973265661413,11.4640085811151,22.8597016024584,21.4543279276358,27.2060778879876
"AT1G73370",60.5340367001153,56.4472129599534,71.6500536319691,83.4876058524568,58.5118034390067,65.4961134340443
"AT1G01230",408.604747725778,379.933164153532,393.597627951617,249.468917487698,325.715705810471,307.327916882823
"AT1G70700",233.623547889508,178.025825489084,142.344773215512,84.4815059221289,123.849983945897,129.984594353719
"AT1G02380",33.1045513203756,21.710466523059,16.2406788232463,25.8414018114747,29.2559017195033,18.1373852586584
"AT1G48870",1.8916886468786,5.42761663076475,6.68733833898378,7.95120055737684,4.87598361991722,3.02289754310974
"AT1G69280",14.1876648515895,7.59866328307065,23.8833512106564,17.8902012540979,10.7271639638179,5.03816257184956
"AT1G12430",78.505078845462,60.7893062645652,101.265409133183,133.182609336062,111.172426534113,149.129612126747
"AT1G56320",29.3211740266184,23.8815131753649,21.9726831138039,16.8963011844258,21.4543279276358,37.2824030316867
"AT1G36310",137.147426898699,81.4142494614712,128.014762489118,168.963011844258,106.296442914195,122.931166753129
"AT1G44830",16.0793534984681,11.9407565876824,17.1960128716726,26.8353018811468,31.2062951674702,39.2976680604266
"AT1G01300",995.974072581585,1385.12776417116,1084.3041449638,853.760159848338,1459.86949580322,1363.32679194249
"AT1G48050",102.151186931445,127.006229159895,128.970096537544,106.347307454915,147.2547053215,140.060919497418
"AT1G22180",63.3715696704332,59.7037829384122,82.1587281646579,72.5547050860636,61.437393610957,76.5800710921133
"AT1G17450",167.414445248756,174.769255510625,188.200807539972,140.139909823767,175.53541031702,172.305159957255
"AT1G28590",0.945844323439302,3.25656997845885,3.82133619370502,0,1.95039344796689,2.01526502873982
"AT1G79670",45.4005275250865,23.8815131753649,32.4813576464927,35.7804025081958,42.9086558552716,53.4045232616053
"AT1G60080",66.2091026407511,53.1906429814945,46.8113683728865,74.5425052254079,103.370852742245,87.6640287501823
"AT1G64355",343.341489408466,399.472584024285,389.776291757912,276.304219368845,343.269246842172,306.320284368453
"AT1G04820",2803.48257467409,3471.50359703713,2715.05936562742,1656.8314161434,2996.77953280113,2691.38644588203
"AT1G71866",14.1876648515895,13.0262799138354,6.68733833898378,13.9146009754095,12.6775574117848,14.1068552011788
"AT1G33050",219.435883037918,296.347868039755,359.205602208272,379.669826614744,222.344853068225,306.320284368453
"AT1G77810",67.1549469641904,49.9340730030357,70.6947195835428,55.6584039016379,54.6110165430729,52.3968907472354
"AT1G16210",548.589707594795,460.261890288851,448.051668711913,294.194420622943,427.136165104749,419.175125977883
"AT1G34580",7.56675458751441,6.5131399569177,13.3746766779676,13.9146009754095,26.330311547553,22.1679153161381
"AT1G02050",31.212862673497,45.5919796984239,22.9280171622301,23.8536016721305,28.2807049955199,18.1373852586584
"AT1G66500",82.2884561392192,54.2761663076475,62.0967131477066,24.8475017418026,29.2559017195033,28.2137104023575
"AT1G04030",96.4761209908088,96.6115760276125,94.5780707941992,134.176509405734,108.246836362162,112.85484160943
"AT1G29370",330.099668880316,370.163454218156,319.081572174369,268.353018811468,315.963738570636,353.679012543839
"AT1G18880",116.338851783034,93.3550060491537,122.282758198561,110.322907733604,119.949197049964,134.015124411198
"AT1G50740",176.872888483149,225.788851839814,148.076777506069,71.5608050163915,106.296442914195,79.602968635223
"AT1G02580",2.8375329703179,0,0,6.95730048770473,8.776770515851,2.01526502873982
"AT1G58220",41.6171502313293,47.7630263507298,41.079364082329,28.823102020491,49.7350329231557,47.3587281753859
"AT1G07350",410.496436372657,348.452987695097,279.912876188893,259.407918184419,280.856656507232,276.091308937356
"AT1G06950",1662.79432060629,1696.67295877706,1636.48722495417,1259.27138827456,1528.13326648206,1650.50205853792
"AT1G19200",52.9672821126009,41.2498863938121,87.8907324552154,27.8292019508189,41.9334591312881,30.2289754310974
"AT1G52140",109.717941518959,142.203555726036,120.372090101708,167.969111774586,172.60982014507,161.221202299186
"AT1G18550",34.0503956438149,42.335409719965,56.364708857149,73.5486051557357,57.5366067150232,48.3663606897558
"AT1G77510",1450.92519215589,1465.45649030648,1210.40823935606,1399.41129809832,1297.98683962196,1336.1207140545
"AT1G52430",1.8916886468786,8.6841866092236,6.68733833898378,1.98780013934421,6.82637706788411,6.04579508621947
"AT1G15950",181.602110100346,344.110894390485,148.076777506069,162.005711356553,387.153099421427,304.305019339713
"AT1G67850",79.4509231689013,68.3879695476358,66.8733833898378,56.65230397131,49.7350329231557,46.3510956610159
"AT1G69620",2630.3930634847,2381.63817757957,2764.73673614558,4382.10540718431,3295.18973034006,3013.82885048041
"AT1G57860",521.160222215055,286.578158104379,490.086366842669,649.016745495884,572.440476978282,535.052865130423
"AT1G63160",102.151186931445,134.604892442966,85.0247303099367,124.237508709013,133.601951185732,106.809046523211
"AT1G71050",17.0251978219074,21.710466523059,21.9726831138039,9.93900069672105,7.80157379186756,4.03053005747965
"AT1G28510",208.085751156646,229.045421818272,163.36212228089,234.560416442617,259.402328579596,255.938658649958
"AT1G48240",91.7468993736123,77.0721561568594,85.0247303099367,222.633615606551,155.056279113368,171.297527442885
"AT1G71140",19.8627307922253,8.6841866092236,19.1066809685251,9.93900069672105,8.776770515851,5.03816257184956
"AT1G66960",0.945844323439302,2.1710466523059,0.955334048426255,11.9268008360653,4.87598361991722,7.05342760058938
"AT1G36370",340.503956438149,286.578158104379,288.510882624729,401.53562814753,492.47434561164,457.46516152394
"AT1G63370",2.8375329703179,3.25656997845885,0.955334048426255,2.98170020901631,0,1.00763251436991
"AT1G56110",723.570907431066,780.491271503971,512.059049956473,964.083067581942,1061.01403569399,989.495129111254
"AT1G14510",296.049273236501,252.926934993637,233.101507816006,385.633227032777,288.6582302991,312.366079454673
"AT1G19010",55.8048150829188,47.7630263507298,41.079364082329,65.5974045983589,44.8590493032385,54.4121557759752
"AT1G54250",311.18278241153,264.86769158132,198.709482072661,170.950811983602,258.427131855613,227.7249482476
"AT1G55170",21.7544194391039,30.3946531322826,27.7046874043614,20.8719014631142,32.1814918914537,26.1984453736177
"AT1G70230",139.039115545577,90.0984360706948,122.282758198561,132.18870926639,126.775574117848,149.129612126747
"AT1G52830",0.945844323439302,1.08552332615295,2.86600214527876,3.97560027868842,7.80157379186756,6.04579508621947
"AT1G45015",135.25573825182,98.7826226799184,136.612768924954,168.963011844258,331.566886154371,287.175266595425
"AT1G67510",65.2632583173118,67.3024462214829,64.9627152929853,67.5852047377031,72.1645575747749,70.5342760058938
"AT1G08230",316.857848352166,276.808448169002,308.57289764168,84.4815059221289,95.5692789503776,99.7556189226213
"AT1G67780",11.3501318812716,2.1710466523059,11.4640085811151,20.8719014631142,11.7023606878013,12.0915901724389
"AT1G04280",376.446040728842,321.314904541273,410.79364082329,516.828036229495,408.607427349063,476.610179296968
"AT1G55020",361.312531553813,327.828044498191,348.696927675583,446.261131282775,443.714509412467,465.526221638899
"AT1G48970",238.352769506704,289.834728082838,205.396820411645,240.523816860649,280.856656507232,259.969188707437
"AT1G79420",16.0793534984681,15.1973265661413,10.5086745326888,18.88410132377,17.553541031702,14.1068552011788
"AT1G70350",157.956002014363,204.078385316755,166.228124426168,385.633227032777,346.194837014123,259.969188707437
"AT1G12450",38.7796172610114,51.0195963291886,42.9900321791815,56.65230397131,51.6854263711226,46.3510956610159
"AT1G57660",800.184297629649,632.86009914717,745.160557772479,1105.21687747538,961.543969847676,900.823467846701
"AT1G05870",855.043268389129,908.583023990019,1147.35619215993,319.041922364746,292.559017195033,254.931026135588
"AT1G78820",1092.45019357239,1245.09525509743,1113.91950046501,450.236731561463,817.214854698127,838.350251955767
"AT1G03790",63.3715696704332,85.756342766083,61.1413790992803,0,3.90078689593378,4.03053005747965
"AT1G02220",77.5592345220227,96.6115760276125,103.176077230036,103.365607245899,63.3877870589239,67.5113784627841
"AT1G74420",8.51259891095371,13.0262799138354,12.4193426295413,7.95120055737684,5.85118034390067,13.0992226868089
